gml_file,num_nodes,num_edges,num_bad,num_good,full,expand_indices,force_unsat,seed,experiment_returncode,experiment_time_s,nksynth_returncode,verdict,timed_out,wall_time_s,user_time_s,sys_time_s,cpu_percent,max_rss_kb,max_rss_mb,timestamp
gml/Ernet.gml,30,32,1,3,False,True,False,3,0,0.387,0,SAT,False,0.312,0.28,0.02,99,76020,74.24,2026-07-05T18:00:41
gml/Esnet.gml,68,92,1,3,False,True,False,3,0,0.437,0,SAT,False,2.548,2.46,0.08,99,243032,237.34,2026-07-05T18:00:42
gml/Eunetworks.gml,15,19,1,3,False,True,False,3,0,0.412,0,SAT,False,0.138,0.11,0.01,99,46132,45.05,2026-07-05T18:00:45
gml/Evolink.gml,37,45,1,3,False,True,False,3,0,0.409,0,SAT,False,0.566,0.53,0.02,100,104776,102.32,2026-07-05T18:00:46
gml/Fatman.gml,17,21,1,3,False,True,False,3,0,0.393,0,SAT,False,0.054,0.04,0.0,100,43640,42.62,2026-07-05T18:00:47
gml/Fccn.gml,23,27,1,3,False,True,False,3,0,0.407,-9,TIMEOUT,True,30.039,,,,,,2026-07-05T18:00:47
gml/Forthnet.gml,62,62,1,3,False,True,False,3,0,0.433,0,SAT,False,1.485,1.44,0.03,99,170864,166.86,2026-07-05T18:01:17
gml/Funet.gml,26,31,1,3,False,True,False,3,0,0.39,0,SAT,False,0.134,0.1,0.02,100,62352,60.89,2026-07-05T18:01:19
gml/Gambia.gml,28,28,1,3,False,True,False,3,0,0.386,0,SAT,False,0.229,0.22,0.0,100,60668,59.25,2026-07-05T18:01:20
gml/Garr.gml,56,74,1,3,False,True,False,3,0,0.412,0,SAT,False,22.748,22.33,0.39,99,1081812,1056.46,2026-07-05T18:01:20
gml/Garr199901.gml,16,18,1,3,False,True,False,3,0,0.413,0,SAT,False,0.1,0.07,0.01,98,45368,44.3,2026-07-05T18:01:44
gml/Garr199904.gml,23,25,1,3,False,True,False,3,0,0.402,0,SAT,False,0.694,0.68,0.0,100,60812,59.39,2026-07-05T18:01:44
gml/Garr199905.gml,23,25,1,3,False,True,False,3,0,0.39,0,SAT,False,0.055,0.04,0.0,100,45328,44.27,2026-07-05T18:01:45
gml/Garr200004.gml,22,24,1,3,False,True,False,3,0,0.397,0,SAT,False,11.696,11.65,0.04,99,109332,106.77,2026-07-05T18:01:46
gml/Garr200109.gml,22,24,1,3,False,True,False,3,0,0.391,0,SAT,False,0.325,0.3,0.01,99,51288,50.09,2026-07-05T18:01:58
gml/Garr200112.gml,24,26,1,3,False,True,False,3,0,0.41,0,SAT,False,0.101,0.09,0.0,98,51160,49.96,2026-07-05T18:01:59
gml/Garr200212.gml,27,29,1,3,False,True,False,3,0,0.415,0,SAT,False,0.36,0.34,0.01,99,57716,56.36,2026-07-05T18:01:59
gml/Garr200404.gml,22,24,1,3,False,True,False,3,0,0.403,0,SAT,False,11.565,11.51,0.03,99,108892,106.34,2026-07-05T18:02:00
gml/Garr200902.gml,54,71,1,3,False,True,False,3,0,0.46,0,SAT,False,1.357,1.29,0.06,99,152244,148.68,2026-07-05T18:02:12
gml/Garr200908.gml,54,68,1,3,False,True,False,3,0,0.46,0,SAT,False,1.416,1.38,0.02,99,152052,148.49,2026-07-05T18:02:14
gml/Garr200909.gml,55,69,1,3,False,True,False,3,0,0.462,0,SAT,False,1.04,0.99,0.03,99,135036,131.87,2026-07-05T18:02:15
gml/Garr200912.gml,54,68,1,3,False,True,False,3,0,0.448,0,SAT,False,2.612,2.58,0.02,99,219564,214.42,2026-07-05T18:02:17
gml/Garr201001.gml,54,68,1,3,False,True,False,3,0,0.43,0,SAT,False,2.606,2.53,0.06,99,219516,214.37,2026-07-05T18:02:20
gml/Garr201003.gml,54,71,1,3,False,True,False,3,0,0.451,0,SAT,False,1.93,1.86,0.06,100,219912,214.76,2026-07-05T18:02:23
gml/Garr201004.gml,54,71,1,3,False,True,False,3,0,0.449,0,SAT,False,1.921,1.86,0.05,99,206264,201.43,2026-07-05T18:02:25
gml/Garr201005.gml,55,72,1,3,False,True,False,3,0,0.441,0,SAT,False,1.053,1.0,0.04,99,134652,131.5,2026-07-05T18:02:28
gml/Garr201007.gml,55,74,1,3,False,True,False,3,0,0.419,0,SAT,False,1.055,1.02,0.02,100,134968,131.8,2026-07-05T18:02:29
gml/Garr201008.gml,55,74,1,3,False,True,False,3,0,0.415,0,SAT,False,1.043,1.01,0.02,99,134928,131.77,2026-07-05T18:02:31
gml/Garr201010.gml,56,75,1,3,False,True,False,3,0,0.418,0,SAT,False,10.271,10.2,0.06,99,233564,228.09,2026-07-05T18:02:32
gml/Garr201012.gml,56,75,1,3,False,True,False,3,0,0.425,0,SAT,False,10.28,10.21,0.05,99,233740,228.26,2026-07-05T18:02:43
gml/Garr201101.gml,56,76,1,3,False,True,False,3,0,0.424,0,SAT,False,10.459,10.39,0.05,99,233752,228.27,2026-07-05T18:02:54
gml/Garr201102.gml,57,77,1,3,False,True,False,3,0,0.458,0,SAT,False,1.177,1.12,0.05,100,162236,158.43,2026-07-05T18:03:05
