gml_file,num_nodes,num_edges,num_bad,num_good,full,expand_indices,force_unsat,seed,experiment_returncode,experiment_time_s,nksynth_returncode,verdict,timed_out,wall_time_s,user_time_s,sys_time_s,cpu_percent,max_rss_kb,max_rss_mb,timestamp,num_repeats
gml/Garr.gml,56,74,1,1,False,False,True,3,0,0.383,-9,TIMEOUT,True,2.007,,,,,,2026-07-10T00:37:42,1
gml/Garr199901.gml,16,18,1,1,False,False,True,3,0,0.371,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:37:44,1
gml/Garr199904.gml,23,25,1,1,False,False,True,3,0,0.363,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:37:47,1
gml/Garr199905.gml,23,25,1,1,False,False,True,3,0,0.363,0,UNSAT,False,0.175,0.16,0.01,99,44608,43.56,2026-07-10T00:37:49,1
gml/Garr200004.gml,22,24,1,1,False,False,True,3,0,0.373,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:37:50,1
gml/Garr200109.gml,22,24,1,1,False,False,True,3,0,0.371,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:37:52,1
gml/Garr200112.gml,24,26,1,1,False,False,True,3,0,0.372,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:37:54,1
gml/Garr200212.gml,27,29,1,1,False,False,True,3,0,0.383,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:37:57,1
gml/Garr200404.gml,22,24,1,1,False,False,True,3,0,0.373,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:37:59,1
gml/Garr200902.gml,54,71,1,1,False,False,True,3,0,0.391,-9,TIMEOUT,True,2.011,,,,,,2026-07-10T00:38:01,1
gml/Garr200908.gml,54,68,1,1,False,False,True,3,0,0.376,-9,TIMEOUT,True,2.012,,,,,,2026-07-10T00:38:04,1
gml/Garr200909.gml,55,69,1,1,False,False,True,3,0,0.402,-9,TIMEOUT,True,2.01,,,,,,2026-07-10T00:38:06,1
gml/Garr200912.gml,54,68,1,1,False,False,True,3,0,0.392,-9,TIMEOUT,True,2.009,,,,,,2026-07-10T00:38:09,1
gml/Garr201001.gml,54,68,1,1,False,False,True,3,0,0.378,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:38:11,1
gml/Garr201003.gml,54,71,1,1,False,False,True,3,0,0.375,-9,TIMEOUT,True,2.008,,,,,,2026-07-10T00:38:13,1
gml/Garr201004.gml,54,71,1,1,False,False,True,3,0,0.382,-9,TIMEOUT,True,2.008,,,,,,2026-07-10T00:38:16,1
gml/Garr201005.gml,55,72,1,1,False,False,True,3,0,0.378,-9,TIMEOUT,True,2.01,,,,,,2026-07-10T00:38:18,1
gml/Garr201007.gml,55,74,1,1,False,False,True,3,0,0.378,-9,TIMEOUT,True,2.01,,,,,,2026-07-10T00:38:21,1
gml/Garr201008.gml,55,74,1,1,False,False,True,3,0,0.377,-9,TIMEOUT,True,2.01,,,,,,2026-07-10T00:38:23,1
gml/Garr201010.gml,56,75,1,1,False,False,True,3,0,0.385,-9,TIMEOUT,True,2.009,,,,,,2026-07-10T00:38:25,1
gml/Garr201012.gml,56,75,1,1,False,False,True,3,0,0.386,-9,TIMEOUT,True,2.009,,,,,,2026-07-10T00:38:28,1
gml/Garr201101.gml,56,76,1,1,False,False,True,3,0,0.379,-9,TIMEOUT,True,2.009,,,,,,2026-07-10T00:38:30,1
gml/Garr201102.gml,57,77,1,1,False,False,True,3,0,0.38,0,UNSAT,False,0.876,0.82,0.04,99,108872,106.32,2026-07-10T00:38:33,1
gml/Garr201103.gml,58,81,1,1,False,False,True,3,0,0.388,-9,TIMEOUT,True,2.011,,,,,,2026-07-10T00:38:34,1
gml/Garr201104.gml,59,83,1,1,False,False,True,3,0,0.378,-9,TIMEOUT,True,2.012,,,,,,2026-07-10T00:38:36,1
gml/Garr201105.gml,59,84,1,1,False,False,True,3,0,0.378,-9,TIMEOUT,True,2.008,,,,,,2026-07-10T00:38:39,1
gml/Garr201107.gml,59,85,1,1,False,False,True,3,0,0.39,-9,TIMEOUT,True,2.008,,,,,,2026-07-10T00:38:41,1
gml/Garr201108.gml,59,85,1,1,False,False,True,3,0,0.387,-9,TIMEOUT,True,2.008,,,,,,2026-07-10T00:38:43,1
gml/Garr201109.gml,59,86,1,1,False,False,True,3,0,0.394,-9,TIMEOUT,True,2.009,,,,,,2026-07-10T00:38:46,1
gml/Garr201110.gml,59,87,1,1,False,False,True,3,0,0.389,-9,TIMEOUT,True,2.007,,,,,,2026-07-10T00:38:48,1
gml/Garr201111.gml,60,87,1,1,False,False,True,3,0,0.404,-9,TIMEOUT,True,2.009,,,,,,2026-07-10T00:38:51,1
gml/Garr201112.gml,61,89,1,1,False,False,True,3,0,0.396,-9,TIMEOUT,True,2.012,,,,,,2026-07-10T00:38:53,1
gml/Garr201201.gml,61,89,1,1,False,False,True,3,0,0.382,-9,TIMEOUT,True,2.012,,,,,,2026-07-10T00:38:55,1
gml/Gblnet.gml,8,7,1,1,False,False,True,3,0,0.367,0,UNSAT,False,0.058,0.04,0.0,100,36216,35.37,2026-07-10T00:38:58,1
gml/Geant.gml,37,57,1,1,False,False,True,3,0,0.375,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:38:58,1
gml/Geant2001.gml,27,38,1,1,False,False,True,3,0,0.377,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:39:01,1
gml/Geant2009.gml,34,52,1,1,False,False,True,3,0,0.372,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:39:03,1
gml/Geant2010.gml,37,58,1,1,False,False,True,3,0,0.377,0,UNSAT,False,0.62,0.59,0.02,99,68056,66.46,2026-07-10T00:39:05,1
gml/Geant2011.gml,40,61,1,1,False,False,True,3,0,0.379,0,UNSAT,False,0.493,0.47,0.01,99,71388,69.71,2026-07-10T00:39:06,1
gml/Geant2012.gml,40,61,1,1,False,False,True,3,0,0.376,-9,TIMEOUT,True,2.007,,,,,,2026-07-10T00:39:07,1
gml/Getnet.gml,7,8,1,1,False,False,True,3,0,0.377,0,UNSAT,False,0.066,0.05,0.0,100,36168,35.32,2026-07-10T00:39:10,1
gml/Globalcenter.gml,9,36,1,1,False,False,True,3,1,0.415,,EXPERIMENT_ERROR,False,,,,,,,2026-07-10T00:39:10,1
gml/Globenet.gml,67,113,1,1,False,False,True,3,0,0.393,-9,TIMEOUT,True,2.012,,,,,,2026-07-10T00:39:10,1
gml/Goodnet.gml,17,31,1,1,False,False,True,3,0,0.372,0,UNSAT,False,0.123,0.11,0.0,99,43500,42.48,2026-07-10T00:39:13,1
gml/Grena.gml,16,15,1,1,False,False,True,3,0,0.363,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:39:13,1
gml/Gridnet.gml,9,20,1,1,False,False,True,3,0,0.386,0,UNSAT,False,0.11,0.1,0.0,100,36996,36.13,2026-07-10T00:39:16,1
gml/Grnet.gml,37,47,1,1,False,False,True,3,0,0.378,-9,TIMEOUT,True,2.009,,,,,,2026-07-10T00:39:16,1
gml/GtsCe.gml,149,193,1,1,False,False,True,3,0,0.562,-9,TIMEOUT,True,2.023,,,,,,2026-07-10T00:39:19,1
gml/GtsCzechRepublic.gml,32,33,1,1,False,False,True,3,0,0.372,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:39:21,1
gml/GtsHungary.gml,30,31,1,1,False,False,True,3,0,0.37,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:39:24,1
